name,url,category,price
Caviar Hydrating Shiny & Smooth Hair Mask 1000ml,https://www.sinorbeauty.com/details/Caviar-Hydrating-Shiny-Smooth-Hair-Mask-1000ml/101168/,HAIR,Tk.2050
BREMOD KERATIN Silky Straight Rebonding 800MLx2,https://www.sinorbeauty.com/details/BREMOD-KERATIN-Silky-Straight-Rebonding-800MLx2/101166/,HAIR,Tk.2800
Matrix biolage clarifying scrub 6 dose 150ml,https://www.sinorbeauty.com/details/Matrix-biolage-clarifying-scrub-6-dose-150ml/101165/,HAIR,Tk.1725
Loreal Professional aminexil advanced Dual- Action Hair Treatment 60ml,https://www.sinorbeauty.com/details/Loreal-Professional-aminexil-advanced-Dual-Action-Hair-Treatment-60ml/101164/,HAIR,Tk.3380
HLB Opsifiem Rebonding Cream 1000ml+1000ml Parlor Size,https://www.sinorbeauty.com/details/HLB-Opsifiem-Rebonding-Cream-1000ml-1000ml-Parlor-Size/101161/,HAIR,Tk.2700
LTQ Keratin Rebonding Cream A&B 1250ml+1250ml,https://www.sinorbeauty.com/details/LTQ-Keratin-Rebonding-Cream-A-B-1250ml-1250ml/101160/,HAIR,Tk.3500
Odo Rebonding Cream Parlour Size,https://www.sinorbeauty.com/details/Odo-Rebonding-Cream-Parlour-Size/101159/,HAIR,Tk.3500
Tov Ch Keratin Shine Rebonding Parlour Size 1250ml+1250ml,https://www.sinorbeauty.com/details/Tov-Ch-Keratin-Shine-Rebonding-Parlour-Size-1250ml-1250ml/101158/,HAIR,Tk.3500
Matrix Opti Care Smooth Straight Shampoo (1L),https://www.sinorbeauty.com/details/Matrix-Opti-Care-Smooth-Straight-Shampoo-1L-/101141/,HAIR,Tk.2550
Professional Organic Hair Botox Keratin Treatment 1000ml*3 set,https://www.sinorbeauty.com/details/Professional-Organic-Hair-Botox-Keratin-Treatment-1000ml-3-set/101128/,HAIR,Tk.7500
V&G Professional Hair Dryer,https://www.sinorbeauty.com/details/V-G-Professional-Hair-Dryer/101126/,HAIR,Tk.1650
ST Sensation Rebonding Cream Set 1+2 (2000ml),https://www.sinorbeauty.com/details/ST-Sensation-Rebonding-Cream-Set-1-2-2000ml-/101109/,HAIR,Tk.3800
"Streax Glossy Serum Shine Shampoo Paraben Free, 240 ml",https://www.sinorbeauty.com/details/Streax-Glossy-Serum-Shine-Shampoo-Paraben-Free-240-ml/101108/,HAIR,Tk.1350
Shills Professional Hair Straightening Cream + Neutraliser For Resistant Hair (1000 ml),https://www.sinorbeauty.com/details/Shills-Professional-Hair-Straightening-Cream-Neutraliser-For-Resistant-Hair-1000-ml-/101107/,HAIR,Tk.2400
Blondor Plex Multi Blonde Blondor - Wella Professionals (400 g),https://www.sinorbeauty.com/details/Blondor-Plex-Multi-Blonde-Blondor-Wella-Professionals-400-g-/101106/,HAIR,Tk.2250
Schwarzkopf Professional Osis Sparkler Shine Hair Spray | For Instant Shine | 300 Ml,https://www.sinorbeauty.com/details/Schwarzkopf-Professional-Osis-Sparkler-Shine-Hair-Spray-For-Instant-Shine-300-Ml/101104/,HAIR,Tk.1850
"Loreal Professionnel Absolut Repair Hair Oil For Dry & Damaged Hair, 90ml 10-In-1 Multi-Benefit Leave-In Hair Oil With Wheat Germ Oil",https://www.sinorbeauty.com/details/Loreal-Professionnel-Absolut-Repair-Hair-Oil-For-Dry-Damaged-Hair-90ml-10-In-1-Multi-Benefit-Leave-In-Hair-Oil-With-Wheat-Germ-Oil/101101/,HAIR,Tk.2350
